objid,specobjid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,plate,mjd,fiberid,petroRad_u,petroRad_g,petroRad_i,petroRad_r,petroRad_z,petroFlux_u,petroFlux_g,petroFlux_i,petroFlux_r,petroFlux_z,petroR50_u,petroR50_g,petroR50_i,petroR50_r,petroR50_z,psfMag_u,psfMag_r,psfMag_g,psfMag_i,psfMag_z,expAB_u,expAB_g,expAB_r,expAB_i,expAB_z,redshift,class,u_g,g_r,r_i,i_z
1.24e+18,3.24e+18,23.47404069,-9.759842201,18.6717,17.51115,17.08483,16.83623,16.66884,1663.0,301.0,3.0,55.0,2878.0,54465.0,30.0,11.10216,10.78802,9.79334,10.85258,11.24965,34.95186,104.4173,171.1382,155.8691,236.4393,4.385108,4.676349,4.032669,4.664011,4.957836,20.89212,19.56819,19.96136,19.35052,19.11734,0.8967835,0.9308048,0.8712212,0.9392452,0.9193246,0.0513311,GALAXY,1.1605500000000006,0.4263200000000005,0.2485999999999997,0.16739000000000104
1.24e+18,3.7e+17,177.2828435,-2.67876188,18.97672,17.7232,17.1286,16.78148,16.53331,1140.0,301.0,3.0,163.0,329.0,52056.0,158.0,7.704559,7.348526,6.906773,7.298139,7.723168,26.64548,82.54192,180.2347,138.7279,239.8992,3.662162,3.580156,3.266841,3.444447,3.441231,21.22886,19.51452,20.11084,19.10785,18.82282,0.749973,0.8693048,0.8671292,0.900687,0.8464084,0.1001454,GALAXY,1.2535200000000017,0.5945999999999998,0.3471200000000003,0.24816999999999823
1.24e+18,6.25e+17,140.6751576,54.27497847,19.09281,17.15572,16.07638,15.62564,15.26025,1895.0,301.0,4.0,226.0,555.0,52266.0,297.0,68.32034,9.945874,7.531691,8.824127,6.833912,23.18384,118.5441,446.9089,314.1507,581.1617,5.355628,3.864897,3.328249,3.796723,3.050125,21.09852,18.04784,19.11975,17.68148,17.29337,0.5243746,0.67986,0.6573634,0.6626654,0.6843216,0.124365,GALAXY,1.9370900000000013,1.0793399999999984,0.4507399999999997,0.36539000000000144
1.24e+18,5.24e+17,60.92242185,-6.08343015,19.01675,17.29943,16.34348,15.80957,15.42806,1045.0,301.0,2.0,179.0,465.0,51910.0,289.0,7.463434,10.48694,10.99149,10.41031,8.070452,19.09298,133.7169,540.939,315.5585,613.5222,3.093382,4.657517,4.804151,4.465403,3.572549,21.07996,18.78001,19.50098,18.28527,17.70658,0.3035119,0.3052567,0.3147261,0.3154911,0.3370278,0.06522818,GALAXY,1.7173199999999973,0.9559500000000014,0.5339099999999988,0.38151000000000046
1.24e+18,6.01e+17,215.2915529,2.966499237,19.51116,17.75527,16.86265,16.42877,16.1189,1458.0,301.0,5.0,604.0,534.0,51997.0,361.0,4.952452,4.201462,3.89303,4.020744,3.804617,17.35499,76.50527,246.3907,169.7181,324.8712,2.214592,1.826146,1.638751,1.69356,1.668516,20.57423,17.99132,18.87482,17.54247,17.23603,0.6818359,0.7693859,0.7412791,0.7736319,0.7272563,0.08926485,GALAXY,1.7558900000000008,0.8926200000000009,0.4338799999999985,0.3098700000000001
1.24e+18,8.23e+17,323.5041051,12.10408163,18.51996,17.23168,16.6002,16.24452,16.01096,1739.0,301.0,5.0,65.0,731.0,52460.0,451.0,6.959079,7.446363,7.323407,7.663913,7.498883,30.75315,118.3357,278.5825,211.9168,341.1701,3.432348,3.9101,3.750943,3.919744,3.671348,21.4109,19.43056,20.10275,19.07679,18.79777,0.5073257,0.5542396,0.5560369,0.5492195,0.5319582,0.06219412,GALAXY,1.2882800000000003,0.6314799999999998,0.35567999999999955,0.23356000000000066
1.24e+18,8.12e+17,337.7598353,-9.50118904,17.6586,16.53999,16.07543,15.93181,15.81796,1659.0,301.0,2.0,218.0,721.0,52228.0,162.0,16.6253,19.03468,15.95724,19.58025,14.32148,31.36623,190.5276,255.1786,337.4699,221.9797,3.624319,7.351817,5.442871,8.424409,4.116109,20.80782,19.672,20.09261,19.61392,19.42026,0.3214018,0.2642536,0.3000191,0.2861583,0.2735629,0.02328627,GALAXY,1.1186100000000003,0.46455999999999875,0.1436200000000003,0.11385000000000112
1.24e+18,3.38e+17,208.0600957,-0.871018254,19.18987,17.97575,17.44754,17.1133,16.93735,756.0,301.0,1.0,616.0,300.0,51943.0,45.0,6.751099,5.509943,5.249247,5.477572,4.990245,24.55247,63.53672,134.3368,99.75134,138.6609,3.206692,2.677765,2.596385,2.599385,2.261091,20.95739,19.31767,19.98803,18.92505,18.80019,0.834206,0.877593,0.8571323,0.8724419,0.9022132,0.06210537,GALAXY,1.2141199999999976,0.5282100000000014,0.3342400000000012,0.17595000000000027
1.24e+18,8.1e+17,332.6198629,-8.186786424,18.97771,17.86701,17.33372,16.95986,16.76025,1659.0,301.0,4.0,183.0,719.0,52203.0,347.0,5.200176,4.426238,4.253735,4.272454,5.24226,26.73252,67.96423,152.9708,110.035,207.5014,2.29859,2.107773,2.004936,2.017955,2.276644,20.38484,19.22772,19.49037,18.77147,18.36383,0.452443,0.4934826,0.506328,0.5154333,0.5108637,0.08134775,GALAXY,1.1106999999999978,0.5332900000000009,0.3738600000000005,0.19960999999999984
1.24e+18,8.07e+17,330.521156,-7.119868444,19.4101,17.97423,17.36129,16.98204,16.74403,1659.0,301.0,6.0,169.0,717.0,52468.0,365.0,4.37892,4.754626,4.618017,4.790703,4.086866,10.20141,63.52454,151.444,111.0893,185.3085,1.475403,2.239975,2.101773,2.172971,1.958636,21.04071,19.02908,19.71152,18.52783,18.19765,0.249958,0.2753822,0.2945977,0.2958866,0.3238191,0.05556881,GALAXY,1.4358700000000013,0.6129399999999983,0.379249999999999,0.23801000000000272
1.24e+18,5.48e+17,150.6803113,62.64880582,19.32961,18.07419,17.61678,17.30235,17.21831,1412.0,301.0,2.0,69.0,487.0,51943.0,111.0,8.635703,6.827336,5.885696,6.459968,13.94391,20.77025,60.39312,109.7827,89.34889,121.3304,3.743302,3.19039,2.827176,3.044081,2.952205,21.40482,19.95539,20.3784,19.72692,19.5243,0.6093424,0.6532522,0.6750217,0.6964329,0.7126962,0.07325738,GALAXY,1.2554199999999973,0.457410000000003,0.314429999999998,0.08404000000000167
1.24e+18,4.79e+17,23.93718762,13.31774667,19.52938,18.34178,17.4861,17.03823,16.76913,1904.0,301.0,1.0,306.0,425.0,51898.0,7.0,2.216025,2.170158,2.013906,2.101283,2.192589,13.63084,41.55737,138.3526,91.8475,176.3803,1.136456,1.104319,0.9992439,1.03685,1.039687,20.09595,18.23865,18.96349,17.81973,17.49517,0.9369795,0.9565981,0.8970978,0.9212683,0.8197403,0.2013165,GALAXY,1.1875999999999998,0.8556799999999996,0.44787000000000177,0.2690999999999981
1.24e+18,7.22e+17,322.7421474,-7.085516012,18.50534,15.95582,15.06185,14.56964,14.19668,1659.0,301.0,4.0,117.0,641.0,52176.0,390.0,5.966456,14.168,13.15784,13.08222,12.02908,26.53517,495.3285,1663.491,1079.375,2101.339,2.547534,5.535067,4.955459,5.133749,4.240662,20.96664,17.96318,18.65337,17.37796,16.71779,0.47712,0.3579523,0.3808544,0.3859551,0.425014,0.02780068,GALAXY,2.549520000000001,0.8939699999999995,0.49221000000000004,0.37295999999999907
1.24e+18,5.27e+17,133.4060177,0.736020835,18.16525,16.42193,15.47616,14.9688,14.53255,756.0,301.0,5.0,117.0,468.0,51912.0,191.0,10.13386,8.140813,7.261222,7.646212,6.48802,57.49763,236.7714,792.3167,529.7636,1113.072,3.997767,3.572295,3.050924,3.252183,2.859603,20.60605,17.85164,18.80372,17.16012,16.71999,0.5550508,0.4897028,0.5480664,0.4766817,0.4663935,0.04094305,GALAXY,1.7433200000000006,0.9457699999999996,0.5073600000000003,0.43624999999999936
1.24e+18,4.99e+17,127.8719758,48.62604056,17.21684,15.4625,14.65014,14.24322,13.94241,1345.0,301.0,2.0,137.0,443.0,51873.0,60.0,68.2973,18.73754,15.29788,15.32477,11.68083,180.9828,676.7253,1897.348,1317.33,2093.423,12.04487,7.112547,6.053769,6.171917,4.578711,19.29174,16.80602,17.71944,16.47067,16.18628,0.7765793,0.8640231,0.8660233,0.8230057,0.7651518,0.05312683,GALAXY,1.754340000000001,0.81236,0.4069199999999995,0.30081000000000024
1.24e+18,4.72e+17,11.24820009,15.25409458,18.77257,16.75027,15.79584,15.34233,14.96295,1904.0,301.0,4.0,223.0,419.0,51879.0,486.0,11.07666,4.519837,4.373867,4.346837,4.031505,30.47161,180.5893,656.818,434.3564,898.3062,2.155797,1.964057,1.892565,1.894047,1.804702,19.98839,17.05974,18.01797,16.64403,16.23732,0.6121173,0.6841202,0.6582794,0.6539826,0.7339385,0.05603563,GALAXY,2.0223000000000013,0.9544300000000003,0.45350999999999964,0.37938000000000116
1.24e+18,5.35e+17,142.5770414,1.216990305,19.59499,18.14029,17.32942,16.85011,16.47646,1462.0,301.0,2.0,115.0,475.0,51965.0,146.0,6.864039,7.535058,6.732874,7.213819,6.964487,10.24905,58.61057,178.5253,123.9984,255.8293,2.883453,3.309217,2.955285,3.268614,3.029876,21.26993,19.53114,20.16082,18.99707,18.4628,0.1165661,0.1859,0.1924611,0.1864532,0.1914751,0.05128442,GALAXY,1.454699999999999,0.8108700000000013,0.4793099999999981,0.37365000000000137
1.24e+18,3.27e+17,187.8640024,-0.337008436,18.62285,17.9556,17.68548,17.53894,17.39356,752.0,301.0,3.0,296.0,290.0,51941.0,318.0,2.543969,2.662904,3.227555,3.151579,3.366703,28.34809,54.4386,85.98536,74.93359,103.0338,1.372216,1.311682,1.515204,1.498806,1.537138,19.33519,18.6327,18.85638,18.49151,18.43734,0.8589206,0.8529565,0.8888583,0.8742366,0.8120109,0.03147073,GALAXY,0.6672499999999992,0.27012000000000214,0.14653999999999812,0.1453799999999994
1.24e+18,3.75e+17,185.2244613,-1.338822964,18.24465,17.00677,16.52617,16.21747,16.03729,1140.0,301.0,6.0,216.0,333.0,52313.0,571.0,7.540419,7.053677,6.759596,6.977611,6.738678,50.54744,158.1036,315.6858,238.0029,362.2563,3.71366,3.650126,3.511585,3.505781,3.405214,20.53916,18.71301,19.30357,18.30751,18.11524,0.7169678,0.7359318,0.7365534,0.7188177,0.7515895,0.07207848,GALAXY,1.2378800000000005,0.48059999999999903,0.30870000000000175,0.18018
1.24e+18,5.81e+17,180.2841458,1.552670706,19.17732,17.88412,17.27442,16.87398,16.64733,1458.0,301.0,1.0,370.0,516.0,52017.0,128.0,6.637278,4.259834,3.962611,3.909775,3.098735,20.84909,61.82256,150.3345,104.4315,166.1533,2.350623,1.959769,1.826784,1.812737,1.60714,20.26272,18.59271,19.14203,18.19225,17.83022,0.3542471,0.4891886,0.4846054,0.5148779,0.4814177,0.08513863,GALAXY,1.2932000000000023,0.6097000000000001,0.4004399999999997,0.22664999999999935
1.24e+18,5.01e+17,128.6350647,49.78771553,19.14016,17.61819,16.82639,16.3949,16.05232,1345.0,301.0,3.0,145.0,445.0,51873.0,293.0,8.524381,9.31675,8.18854,8.632489,7.47735,25.20382,93.28554,255.0565,179.0031,341.1373,4.514397,4.151146,3.483363,3.772685,3.430032,21.38641,19.10683,20.03504,18.83796,18.34128,0.1930654,0.2248292,0.2280141,0.2292624,0.2622772,0.0724998,GALAXY,1.5219700000000032,0.7917999999999985,0.43149000000000015,0.3425799999999981
1.24e+18,3.04e+17,153.5316783,-0.874336322,19.03944,17.23631,16.42907,16.06566,15.75864,756.0,301.0,1.0,252.0,270.0,51909.0,7.0,4.144396,4.397237,4.208238,4.363033,4.76798,20.96939,117.1486,334.7987,241.5483,455.7604,1.768194,1.922939,1.82201,1.88556,1.921471,20.2359,17.75081,18.51258,17.46011,17.03747,0.539095,0.5244748,0.527891,0.5300375,0.5398543,0.0471465,GALAXY,1.8031299999999995,0.8072400000000002,0.36340999999999823,0.3070200000000014
1.24e+18,3.03e+17,150.356005,0.833230735,17.52646,16.17804,15.54106,15.19984,14.93983,756.0,301.0,5.0,231.0,269.0,51910.0,373.0,19.45905,20.31442,16.0708,16.86544,15.88776,133.6941,435.5445,905.011,682.2559,1179.485,8.189278,8.139712,6.487051,6.755914,6.636835,21.38873,18.78331,19.57019,18.55261,18.15659,0.8286,0.8168702,0.7772723,0.8093935,0.7876183,0.04603692,GALAXY,1.3484200000000008,0.6369799999999994,0.34121999999999986,0.2600099999999994
1.24e+18,6.96e+17,237.7764392,52.84582665,18.58829,16.57843,15.66761,15.24487,14.90304,1345.0,301.0,4.0,554.0,618.0,52049.0,452.0,3.535665,3.802423,3.561671,3.593648,3.430132,31.56134,220.0754,737.8022,499.356,990.3756,1.529298,1.608367,1.531622,1.556971,1.483788,19.68939,16.8448,17.80355,16.40956,16.13658,0.6160364,0.591689,0.5918064,0.5814818,0.563411,0.06559747,GALAXY,2.0098599999999998,0.9108200000000011,0.4227399999999992,0.34182999999999986
1.24e+18,3.7e+17,176.8466557,-2.834649988,18.64244,17.79391,17.22738,16.8572,16.67446,1231.0,301.0,3.0,51.0,329.0,52056.0,169.0,4.101635,4.483167,4.532689,4.890489,4.441263,33.05306,76.40157,180.5034,127.6994,195.0772,1.946321,2.201851,2.13553,2.202522,1.940926,19.6934,18.53483,19.00843,18.25142,18.17299,0.923313,0.9465758,0.9436497,0.9186866,0.8442654,0.1214118,GALAXY,0.8485300000000002,0.5665300000000002,0.3701800000000013,0.18273999999999901
